id M M_err Li Li_err MLi MLi_err M_density M_density_err
0000 853149.4638689327 173169.3344789651 912948.6305279719 183094.48787587447 0.9344988702984784 0.02922483375988835 4.288443906944937 1.0608979220926458
0100 1211506.4343456824 244235.94155429493 1260219.1444318797 252412.912383894 0.9613458418708934 0.022007794244189076 6.089762235837843 1.4996317420094003
0200 1831221.5101816903 367757.9090920004 1784195.2329069106 357103.2203241117 1.0263571364878954 0.016928931273999217 9.204824078529372 2.260928636342115
0300 1280335.7907880058 257470.48862856714 1502862.8596163557 300883.99500184634 0.8519312208665828 0.01608991634981857 6.435740105782762 1.5821927342773523
0400 1805564.7558963676 362308.86262386385 1967202.3048135955 393681.15015223506 0.9178337944594143 0.013502528745841185 9.075857752877694 2.228033015459976
0500 2111477.5466095973 423297.3440355331 2332994.3302634466 466803.64442830917 0.9050504406374468 0.011263999941089198 10.613559994922605 2.6038939918231625
0600 2409981.9291160083 482993.43508302356 2524173.5095415884 505024.8512342474 0.9547608038853406 0.011114644130050616 12.114023107858044 2.9714110374799674
0700 3025900.4341141093 606097.0001806043 2994345.8101993916 599031.2758843055 1.0105380693863868 0.01008725347487531 15.210001095062783 3.7294383161663753
0800 3453397.8144292426 691496.6018299661 3410262.811113358 682196.3167388411 1.0126485862542078 0.008933646779802844 17.358860835926432 4.255389111842173
0900 4245730.102576538 849849.1838591667 4127172.6858287044 825555.3299760084 1.0287260615856757 0.007599085466034069 21.34160092694408 5.230489580683198
1000 4622039.460449209 925064.941541804 4478682.9818913145 895848.8162466574 1.0320086237712134 0.007064496667126635 23.233158785489884 5.693635398309981
1100 4397571.340777223 879990.0438145739 5053967.6000516815 1010894.2816261445 0.870122582648186 0.005170657225501362 22.104846595331136 5.416512356649647
1200 5184428.222570205 1037439.3447441544 5192711.594659277 1038640.6970125432 0.9984048079817119 0.005919550054012749 26.060063990722018 6.385658645259654
1300 5317320.636332238 1064015.602169851 5282102.875138906 1056517.4839380127 1.0066673751015132 0.00588335984148045 26.728061435733068 6.549274794407638
1400 5365093.174678683 1073531.4084351726 5494207.078905208 1098935.0293664378 0.9764999931068756 0.00547395596189635 26.968195034436917 6.6079364066429545
1500 5328337.285185688 1066203.7145925262 5358148.687880986 1071725.4350471902 0.9944362494525908 0.005723217590396474 26.783437759169157 6.562776701902402
1600 5443133.349892736 1089205.812891035 5236328.123625805 1047363.279551599 1.0394943214757393 0.006159449262160884 27.360472036377384 6.704296692650224
1700 5067827.896975099 1014140.5910321921 5033178.170116444 1006736.7642170386 1.0068842639158655 0.006154413958182746 25.473960409787285 6.242180661534453
1800 4662009.696924405 932994.0585085928 4723490.5211952105 944805.1069508289 0.9869840271733521 0.006377937730775197 23.434073307892415 5.742582654950869
1900 1709743.501386312 342481.44607009884 1955729.7682359037 391258.4736934555 0.8742227730820528 0.008817001995395044 8.59420231914399 2.1073281076046695
2000 1905817.9788606644 381892.3748823996 1910295.0081650564 382189.52369728574 0.9976563675844536 0.011188444772212957 9.579790933850635 2.3495519734114976
2100 3135504.0996943926 627900.2353323655 3254345.7130227713 651019.2296301605 0.9634821792740657 0.008809287229596684 15.760935241706994 3.8639065817947347
2200 2842850.032478019 569332.5272952686 3140502.2026715036 628255.5484363157 0.9052214738329801 0.00847256946950724 14.28987934289028 3.5034215277168914
2300 2386097.1567468042 478234.1433161632 2489721.597505728 498136.9396895548 0.958379105172748 0.011312627025724064 11.993963832346132 2.942075197358691
2400 3214990.1385873496 643704.0601101305 3495819.6108889175 699304.4154618293 0.9196670584984337 0.007793525502187128 16.160480026781205 3.961391237567984
2500 2091290.9172201355 419135.16554673656 2465411.01032534 493276.58322864457 0.8482524449114733 0.009905764494198504 10.512089817101227 2.5785261880824026
2600 1376975.6267619375 276946.1678517322 1497433.8356566161 299799.2777469869 0.9195569072727288 0.017647618481534063 6.921510223800716 1.701788578298259
2700 1206603.9938445892 243146.4948660931 1290332.2562087083 258427.20304011717 0.9351110832413568 0.020817799207620603 6.0651196122572895 1.4931472584203564
2800 1041778.0346035006 210410.6560103914 1125064.8015833192 225424.9223050373 0.9259715823812034 0.02354126399126055 5.236604902292715 1.2911491153036836
2900 845143.8418094541 171457.182800249 926416.4001463704 185780.88969688892 0.912272107527376 0.028006365106543984 4.248202820715352 1.0505832710902214
3000 729272.9515011177 148644.63720522192 800246.0437390443 160623.19962368783 0.9113109114462918 0.032316631618784 3.665765821597212 0.9094125477019105
3100 627523.691532597 128601.93646196941 700828.600081227 140819.14737786248 0.8954025156220309 0.036092387729866594 3.1543126560881096 0.785408618472999
3200 532646.9409388928 110030.695176172 603918.5390340937 121539.54223706348 0.8819847487888142 0.04108939127057313 2.6774048688532903 0.6702746807023942
3300 455040.0526429368 94674.240268899 540649.6387410342 108972.2197570264 0.8416542249108881 0.04342554293865479 2.287305828363384 0.5754185490921699
3400 442593.85359620873 92747.68167549704 498685.6233214163 100648.71540008677 0.8875207804235116 0.050038326718884064 2.2247437232141682 0.5624389236752142
